iter,i,x,y,sig
0,0,5.158302,5.077407,-1000.000000
0,1,6.606222,5.568341,-999.962000
0,2,0.696946,1.312956,-1000.000000
0,3,2.839490,1.729729,-1000.000000
0,4,4.927952,2.168201,7.980000
0,5,2.562860,3.402233,-1000.000000
0,6,0.138216,6.829531,6.720000
0,7,5.908010,4.406296,-1000.000000
0,8,5.280530,6.888868,-1000.000000
0,9,6.137292,6.390076,-999.962000
2,0,5.146571,1.676952,26.210000
2,1,5.114306,4.065560,-1000.000000
2,2,3.250167,1.890621,-1000.000000
2,3,5.440928,2.663802,8.200000
2,4,5.225913,2.469345,8.200000
2,5,4.746022,3.155442,-1000.000000
2,6,3.458520,3.934393,-1000.000000
2,7,5.247872,1.560187,26.210000
2,8,5.202534,3.099920,-1000.000000
2,9,5.415269,4.003581,-1000.000000
4,0,5.211834,2.293309,8.200000
4,1,6.610683,4.805068,-999.962000
4,2,6.030276,2.348926,27.562000
4,3,6.334633,2.506502,27.562000
4,4,5.565557,2.516560,8.200000
4,5,5.405960,3.037684,-1000.000000
4,6,4.992417,5.487438,-1000.000000
4,7,6.152266,1.839462,26.362000
4,8,5.831451,7.374297,-179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
4,9,6.770950,3.737391,-999.962000
